iter | iter_state       | phi       | chisq     | state vector 
0000 | PHI INITIAL      | 2.266E+02 | 8.956E-01 | -9.163E-01 -1.897E+00 1.823E-01 -2.303E+00 -1.204E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00
0000 | PHI INCREASED    | 2.368E+02 | 9.356E-01 | -9.040E-01 -1.894E+00 2.137E-01 -2.303E+00 -1.204E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00
0001 | PHI REDUCED      | 2.262E+02 | 8.941E-01 | -9.141E-01 -1.897E+00 1.880E-01 -2.303E+00 -1.204E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00
0002 | PHI REDUCED      | 2.256E+02 | 8.914E-01 | -9.079E-01 -1.895E+00 2.016E-01 -2.303E+00 -1.204E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00
0003 | PHI REDUCED      | 2.254E+02 | 8.904E-01 | -8.965E-01 -1.892E+00 2.191E-01 -2.303E+00 -1.204E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00
0004 | PHI REDUCED      | 2.243E+02 | 8.855E-01 | -8.867E-01 -1.889E+00 2.274E-01 -2.303E+00 -1.204E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00
0005 | PHI INCREASED    | 2.244E+02 | 8.855E-01 | -8.838E-01 -1.888E+00 2.298E-01 -2.303E+00 -1.204E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00
0006 | PHI INCREASED    | 2.244E+02 | 8.855E-01 | -8.849E-01 -1.888E+00 2.288E-01 -2.303E+00 -1.204E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00
0007 | PHI INCREASED    | 2.243E+02 | 8.855E-01 | -8.863E-01 -1.889E+00 2.277E-01 -2.303E+00 -1.204E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00
0008 | PHI INCREASED    | 2.243E+02 | 8.855E-01 | -8.866E-01 -1.889E+00 2.275E-01 -2.303E+00 -1.204E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00
0009 | PHI INCREASED    | 2.243E+02 | 8.855E-01 | -8.867E-01 -1.889E+00 2.274E-01 -2.303E+00 -1.204E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00 -4.605E+00
